sysselsättning,födelseregion,ålder,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
förvärvsarbetande,Nord- och Mellanamerika,20-24 år,0,0,0,0,0,0,40,122,189,250,253,282,319
förvärvsarbetande,Nord- och Mellanamerika,25-34 år,0,0,0,0,0,0,175,512,923,1284,1715,2098,2435
förvärvsarbetande,Nord- och Mellanamerika,35-44 år,0,0,0,0,0,0,111,297,497,711,996,1221,1516
förvärvsarbetande,Nord- och Mellanamerika,45-54 år,0,0,0,0,0,0,41,123,196,308,392,509,615
förvärvsarbetande,Nord- och Mellanamerika,55-59 år,0,0,0,0,0,0,7,15,45,51,72,113,153
förvärvsarbetande,Nord- och Mellanamerika,60-64 år,0,0,0,0,0,0,2,10,15,33,45,46,61
förvärvsarbetande,Nord- och Mellanamerika,65+ år,0,0,0,0,0,0,1,8,10,14,21,26,29
förvärvsarbetande,Norden exkl Sverige,16-19 år,67,93,91,112,132,108,111,102,126,136,154,187,245
förvärvsarbetande,Norden exkl Sverige,20-24 år,932,779,868,861,842,780,690,546,472,403,427,484,605
förvärvsarbetande,Norden exkl Sverige,25-34 år,4021,4405,4857,5168,5286,5248,4879,4421,3960,3443,2994,2550,2161
förvärvsarbetande,Norden exkl Sverige,35-44 år,2085,2434,2863,3295,3704,3964,4305,4520,4652,4829,4865,4963,4985
förvärvsarbetande,Norden exkl Sverige,45-54 år,1147,1312,1499,1683,1895,2013,2157,2270,2299,2390,2503,2633,2738
förvärvsarbetande,Norden exkl Sverige,55-59 år,380,443,527,565,602,658,711,744,741,751,742,747,788
förvärvsarbetande,Norden exkl Sverige,60-64 år,134,192,230,350,401,422,445,496,476,515,528,536,582
förvärvsarbetande,Norden exkl Sverige,65+ år,24,33,39,57,77,104,128,199,254,279,290,322,323
förvärvsarbetande,Norden exkl Sverige,16-19 år,0,0,0,0,0,0,32,34,50,53,48,92,107
förvärvsarbetande,Norden exkl Sverige,20-24 år,0,0,0,0,0,0,201,402,555,653,763,922,1088
förvärvsarbetande,Norden exkl Sverige,25-34 år,0,0,0,0,0,0,573,1279,1912,2469,3023,3749,4615
förvärvsarbetande,Norden exkl Sverige,35-44 år,0,0,0,0,0,0,244,578,918,1282,1633,2055,2482
förvärvsarbetande,Norden exkl Sverige,45-54 år,0,0,0,0,0,0,124,310,510,681,870,1082,1363
förvärvsarbetande,Norden exkl Sverige,55-59 år,0,0,0,0,0,0,30,70,123,193,270,374,439
förvärvsarbetande,Norden exkl Sverige,60-64 år,0,0,0,0,0,0,20,55,88,116,132,176,223
förvärvsarbetande,Norden exkl Sverige,65+ år,0,0,0,0,0,0,4,18,35,58,79,105,118
förvärvsarbetande,Oceanien,16-19 år,0,2,3,2,2,3,1,6,6,3,2,9,18
förvärvsarbetande,Oceanien,20-24 år,38,41,38,40,44,34,32,20,16,14,17,16,24
förvärvsarbetande,Oceanien,25-34 år,354,376,436,503,553,539,495,414,349,289,225,175,133
förvärvsarbetande,Oceanien,35-44 år,115,149,219,294,355,440,492,530,532,532,534,529,522
förvärvsarbetande,Oceanien,45-54 år,28,32,48,55,70,79,94,106,125,144,159,185,212
förvärvsarbetande,Oceanien,55-59 år,5,6,8,8,12,8,9,13,15,15,21,27,32
förvärvsarbetande,Oceanien,60-64 år,3,4,3,5,4,5,6,4,6,9,5,5,9
förvärvsarbetande,Oceanien,65+ år,0,0,2,2,1,2,4,2,1,1,4,5,3
förvärvsarbetande,Oceanien,16-19 år,0,0,0,0,0,0,2,1,1,1,4,5,3
förvärvsarbetande,Oceanien,20-24 år,0,0,0,0,0,0,16,39,47,51,47,40,62
förvärvsarbetande,Oceanien,25-34 år,0,0,0,0,0,0,85,213,292,362,459,540,655
förvärvsarbetande,Oceanien,35-44 år,0,0,0,0,0,0,29,76,129,179,246,322,394
förvärvsarbetande,Oceanien,45-54 år,0,0,0,0,0,0,6,19,25,42,55,76,93
förvärvsarbetande,Oceanien,55-59 år,0,0,0,0,0,0,1,3,1,3,9,15,20
förvärvsarbetande,Oceanien,60-64 år,0,0,0,0,0,0,0,0,0,3,2,3,4
förvärvsarbetande,Oceanien,65+ år,0,0,0,0,0,0,0,0,2,2,3,0,0
förvärvsarbetande,Sydamerika,16-19 år,36,34,69,80,88,71,85,78,93,105,111,110,168
förvärvsarbetande,Sydamerika,20-24 år,260,282,312,399,464,450,521,498,489,483,525,586,641
förvärvsarbetande,Sydamerika,25-34 år,1041,1221,1595,2098,2488,2574,2824,2795,2633,2449,2251,2156,1985
förvärvsarbetande,Sydamerika,35-44 år,739,919,1206,1547,1915,2164,2493,2772,2966,3090,3278,3430,3596
förvärvsarbetande,Sydamerika,45-54 år,363,475,618,774,941,1055,1268,1427,1499,1644,1810,1935,2112
förvärvsarbetande,Sydamerika,55-59 år,77,105,129,169,207,213,256,302,348,375,409,464,528
förvärvsarbetande,Sydamerika,60-64 år,25,30,46,66,83,107,118,140,149,186,218,240,276
förvärvsarbetande,Sydamerika,65+ år,0,1,5,6,16,17,22,36,41,49,56,75,86
förvärvsarbetande,Sydamerika,16-19 år,0,0,0,0,0,0,8,14,24,27,35,57,87
förvärvsarbetande,Sydamerika,20-24 år,0,0,0,0,0,0,49,106,169,183,233,301,386
förvärvsarbetande,Sydamerika,25-34 år,0,0,0,0,0,0,193,562,919,1220,1494,1872,2316
förvärvsarbetande,Sydamerika,35-44 år,0,0,0,0,0,0,101,345,616,861,1139,1573,2014
förvärvsarbetande,Sydamerika,45-54 år,0,0,0,0,0,0,44,140,238,368,494,655,885
förvärvsarbetande,Sydamerika,55-59 år,0,0,0,0,0,0,5,17,41,67,99,144,193
förvärvsarbetande,Sydamerika,60-64 år,0,0,0,0,0,0,2,11,27,33,43,58,92
förvärvsarbetande,Sydamerika,65+ år,0,0,0,0,0,0,0,4,6,11,17,19,24
förvärvsarbetande,Sverige,16-19 år,259,350,395,469,630,601,699,726,854,769,701,779,908
förvärvsarbetande,Sverige,20-24 år,2179,2116,2331,2697,2992,2963,3296,3111,2981,2836,2837,3025,3308
förvärvsarbetande,Sverige,25-34 år,9751,11426,13227,14771,15869,16021,16204,15563,14755,13982,12913,11949,11228
förvärvsarbetande,Sverige,35-44 år,8406,10045,12061,14313,16658,18432,19485,20032,20332,20482,20799,21004,20800
förvärvsarbetande,Sverige,45-54 år,3961,4764,5761,6921,8083,9250,10311,11251,12139,12898,13622,14413,15287
förvärvsarbetande,Sverige,55-59 år,1448,1672,1911,2178,2453,2630,2766,2973,3083,3210,3383,3674,3999
förvärvsarbetande,Sverige,60-64 år,706,955,1224,1532,1687,1886,2009,2063,2149,2226,2273,2378,2509
förvärvsarbetande,Sverige,65+ år,130,153,237,339,469,623,734,1099,1251,1384,1425,1535,1572
förvärvsarbetande,Sverige,16-19 år,0,0,0,0,0,0,78,120,148,207,247,306,515
förvärvsarbetande,Sverige,20-24 år,0,0,0,0,0,0,680,1790,2837,3366,3577,3556,3507
förvärvsarbetande,Sverige,25-34 år,0,0,0,0,0,0,1580,4064,6421,8967,11642,14732,18012
förvärvsarbetande,Sverige,35-44 år,0,0,0,0,0,0,1260,2969,4586,6378,8311,10400,12274
förvärvsarbetande,Sverige,45-54 år,0,0,0,0,0,0,603,1470,2420,3527,4629,5955,7400
förvärvsarbetande,Sverige,55-59 år,0,0,0,0,0,0,180,449,715,948,1244,1539,1889
förvärvsarbetande,Sverige,60-64 år,0,0,0,0,0,0,100,245,424,594,763,928,1202
förvärvsarbetande,Sverige,65+ år,0,0,0,0,0,0,51,122,217,319,433,571,630
ej förvärvsarbetande,Afrika,16-19 år,1367,1610,2033,2585,3233,4332,4246,4094,3826,3593,3437,3308,3192
ej förvärvsarbetande,Afrika,20-24 år,1694,2120,2927,3520,4084,5379,4429,4001,3747,3431,3173,2699,2194
ej förvärvsarbetande,Afrika,25-34 år,4624,6099,7841,9299,11082,14500,12415,10857,9409,8188,6865,5333,4476
ej förvärvsarbetande,Afrika,35-44 år,2296,2997,3963,4931,6020,8278,8081,7689,7530,7261,6654,5983,5331
ej förvärvsarbetande,Afrika,45-54 år,635,908,1186,1571,1989,2731,2792,2826,2931,3074,3054,3094,2927
ej förvärvsarbetande,Afrika,55-59 år,134,191,256,336,414,593,575,596,570,613,610,754,749
ej förvärvsarbetande,Afrika,60-64 år,100,120,172,212,298,398,433,391,441,428,468,445,456
ej förvärvsarbetande,Afrika,65+ år,204,257,327,417,507,679,741,780,812,871,909,981,1016
ej förvärvsarbetande,Afrika,16-19 år,0,0,0,0,0,0,1116,1988,2986,5100,7359,9418,12072
ej förvärvsarbetande,Afrika,20-24 år,0,0,0,0,0,0,2006,2928,3634,4331,5819,7131,8032
ej förvärvsarbetande,Afrika,25-34 år,0,0,0,0,0,0,4238,6943,9571,12461,15470,18110,19688
ej förvärvsarbetande,Afrika,35-44 år,0,0,0,0,0,0,1890,3329,4864,6581,7964,9816,11076
ej förvärvsarbetande,Afrika,45-54 år,0,0,0,0,0,0,690,1230,1801,2643,3352,4036,4635
ej förvärvsarbetande,Afrika,55-59 år,0,0,0,0,0,0,170,279,402,594,739,1014,1146
ej förvärvsarbetande,Afrika,60-64 år,0,0,0,0,0,0,126,211,301,413,537,615,764
ej förvärvsarbetande,Afrika,65+ år,0,0,0,0,0,0,178,386,590,821,989,1220,1464
ej förvärvsarbetande,Asien,16-19 år,4954,5642,7233,9103,11030,13254,12557,12192,11794,11345,10911,10368,9638
ej förvärvsarbetande,Asien,20-24 år,7201,8674,11500,13247,14775,17973,14573,12580,11363,10662,9674,8108,6704
ej förvärvsarbetande,Asien,25-34 år,17549,21015,26871,32059,36831,44984,40056,34524,29064,25166,21114,16551,13555
ej förvärvsarbetande,Asien,35-44 år,10227,12051,15520,18925,21528,25494,23769,22265,21099,19997,18306,16381,14452
ej förvärvsarbetande,Asien,45-54 år,4196,5040,6837,8645,10482,12647,12526,12242,12127,12053,11577,11267,10604
ej förvärvsarbetande,Asien,55-59 år,959,1138,1559,1977,2407,2973,3145,3357,3572,3744,3873,3893,3824
ej förvärvsarbetande,Asien,60-64 år,687,785,1034,1287,1584,1872,1998,2088,2211,2336,2487,2664,2813
ej förvärvsarbetande,Asien,65+ år,1089,1337,1831,2319,2784,3247,3484,3705,3922,4170,4412,4712,5056
ej förvärvsarbetande,Asien,16-19 år,0,0,0,0,0,0,2039,4463,7164,9757,12773,15813,21452
ej förvärvsarbetande,Asien,20-24 år,0,0,0,0,0,0,5082,6924,8345,10333,13631,16693,23523
ej förvärvsarbetande,Asien,25-34 år,0,0,0,0,0,0,8931,15597,22292,28522,36179,41776,52777
ej förvärvsarbetande,Asien,35-44 år,0,0,0,0,0,0,3407,6496,10229,14524,20819,26789,34054
ej förvärvsarbetande,Asien,45-54 år,0,0,0,0,0,0,1366,2761,4490,7058,10874,14450,18719
ej förvärvsarbetande,Asien,55-59 år,0,0,0,0,0,0,296,656,1123,1817,2637,3776,5167
ej förvärvsarbetande,Asien,60-64 år,0,0,0,0,0,0,188,371,635,1073,1619,2267,3319
ej förvärvsarbetande,Asien,65+ år,0,0,0,0,0,0,210,484,894,1548,2326,3214,4677
ej förvärvsarbetande,Europa exkl Norden,16-19 år,2932,3398,4372,5324,6105,7009,6594,6519,6695,6783,6907,6760,6478
ej förvärvsarbetande,Europa exkl Norden,20-24 år,5813,6627,7931,9355,11064,13226,9533,7392,5921,5141,4674,4113,3711
ej förvärvsarbetande,Europa exkl Norden,25-34 år,13899,16422,19453,22294,25791,31619,26180,21772,18024,15182,12884,10542,8720
ej förvärvsarbetande,Europa exkl Norden,35-44 år,6927,8131,9992,12096,13934,17368,15005,13487,12366,11762,10945,10130,9280
ej förvärvsarbetande,Europa exkl Norden,45-54 år,3332,3984,5047,6293,7478,9529,8685,7917,7602,7239,6987,6684,6486
ej förvärvsarbetande,Europa exkl Norden,55-59 år,1006,1243,1500,1845,2338,2932,2892,2808,2793,2796,2761,2710,2607
ej förvärvsarbetande,Europa exkl Norden,60-64 år,820,948,1180,1437,1862,2228,2214,2226,2179,2174,2261,2232,2242
ej förvärvsarbetande,Europa exkl Norden,65+ år,1528,1921,2438,3010,3599,4260,4363,4504,4666,4902,5112,5288,5520
ej förvärvsarbetande,Europa exkl Norden,16-19 år,0,0,0,0,0,0,923,1734,2542,3294,4132,4793,5465
ej förvärvsarbetande,Europa exkl Norden,20-24 år,0,0,0,0,0,0,3620,5353,6609,7594,8400,8806,9131
ej förvärvsarbetande,Europa exkl Norden,25-34 år,0,0,0,0,0,0,6573,11118,15600,19289,22419,24549,26053
ej förvärvsarbetande,Europa exkl Norden,35-44 år,0,0,0,0,0,0,3095,5317,7665,9681,11334,13092,14350
ej förvärvsarbetande,Europa exkl Norden,45-54 år,0,0,0,0,0,0,1506,2563,3671,4568,5504,6505,7267
ej förvärvsarbetande,Europa exkl Norden,55-59 år,0,0,0,0,0,0,429,752,1067,1357,1691,1989,2250
ej förvärvsarbetande,Europa exkl Norden,60-64 år,0,0,0,0,0,0,294,542,760,1005,1212,1440,1631
ej förvärvsarbetande,Europa exkl Norden,65+ år,0,0,0,0,0,0,463,854,1321,1728,2219,2803,3398
ej förvärvsarbetande,Nord- och Mellanamerika,16-19 år,253,299,365,395,426,497,443,420,437,439,482,523,591
ej förvärvsarbetande,Nord- och Mellanamerika,20-24 år,619,670,569,598,775,919,668,532,427,358,326,295,289
ej förvärvsarbetande,Nord- och Mellanamerika,25-34 år,1669,1926,1873,1871,2044,2561,2115,1670,1324,1111,904,630,541
ej förvärvsarbetande,Nord- och Mellanamerika,35-44 år,789,903,1017,1141,1233,1450,1260,1097,1024,980,861,686,647
ej förvärvsarbetande,Nord- och Mellanamerika,45-54 år,343,401,441,497,603,743,671,609,576,519,537,495,485
ej förvärvsarbetande,Nord- och Mellanamerika,55-59 år,73,85,121,137,154,188,201,189,179,199,175,170,158
ej förvärvsarbetande,Nord- och Mellanamerika,60-64 år,87,99,94,94,103,112,110,115,114,109,124,133,131
ej förvärvsarbetande,Nord- och Mellanamerika,65+ år,89,112,144,182,215,255,259,254,260,279,273,277,296
ej förvärvsarbetande,Nord- och Mellanamerika,16-19 år,0,0,0,0,0,0,103,164,231,332,410,483,495
ej förvärvsarbetande,Nord- och Mellanamerika,20-24 år,0,0,0,0,0,0,354,495,592,672,705,664,704
ej förvärvsarbetande,Nord- och Mellanamerika,25-34 år,0,0,0,0,0,0,668,1134,1512,1856,2055,1975,2097
ej förvärvsarbetande,Nord- och Mellanamerika,35-44 år,0,0,0,0,0,0,301,493,704,861,958,993,1075
ej förvärvsarbetande,Nord- och Mellanamerika,45-54 år,0,0,0,0,0,0,132,252,315,391,452,511,575
ej förvärvsarbetande,Nord- och Mellanamerika,55-59 år,0,0,0,0,0,0,20,46,84,128,143,159,181
ej förvärvsarbetande,Nord- och Mellanamerika,60-64 år,0,0,0,0,0,0,24,49,76,79,81,89,100
ej förvärvsarbetande,Nord- och Mellanamerika,65+ år,0,0,0,0,0,0,36,66,93,125,157,178,210
ej förvärvsarbetande,Norden exkl Sverige,16-19 år,658,738,888,1032,1081,1219,998,994,1059,1151,1245,1433,1595
ej förvärvsarbetande,Norden exkl Sverige,20-24 år,2536,2612,2713,2867,2974,2926,1877,1217,846,668,551,510,512
ej förvärvsarbetande,Norden exkl Sverige,25-34 år,4754,5227,5977,6509,6473,6465,4772,3572,2783,2171,1691,1310,1004
ej förvärvsarbetande,Norden exkl Sverige,35-44 år,2817,3164,3561,4019,4270,4727,4115,3639,3248,2890,2667,2417,2172
ej förvärvsarbetande,Norden exkl Sverige,45-54 år,2130,2414,2758,3040,3245,3519,3067,2728,2597,2425,2254,2103,1991
ej förvärvsarbetande,Norden exkl Sverige,55-59 år,1169,1362,1375,1452,1508,1603,1366,1279,1231,1128,1052,992,892
ej förvärvsarbetande,Norden exkl Sverige,60-64 år,1072,1311,1604,1788,1966,2010,1766,1490,1276,1113,1059,976,934
ej förvärvsarbetande,Norden exkl Sverige,65+ år,1811,2148,2597,3065,3547,4071,4189,4269,4326,4342,4292,4183,4116
ej förvärvsarbetande,Norden exkl Sverige,16-19 år,0,0,0,0,0,0,361,439,585,621,726,787,881
ej förvärvsarbetande,Norden exkl Sverige,20-24 år,0,0,0,0,0,0,981,1673,2154,2406,2643,2817,2985
ej förvärvsarbetande,Norden exkl Sverige,25-34 år,0,0,0,0,0,0,1251,1993,2477,2760,3024,3363,3590
ej förvärvsarbetande,Norden exkl Sverige,35-44 år,0,0,0,0,0,0,631,1058,1325,1484,1671,1862,1891
ej förvärvsarbetande,Norden exkl Sverige,45-54 år,0,0,0,0,0,0,515,877,1116,1334,1484,1527,1619
ej förvärvsarbetande,Norden exkl Sverige,55-59 år,0,0,0,0,0,0,214,388,509,621,649,698,763
ej förvärvsarbetande,Norden exkl Sverige,60-64 år,0,0,0,0,0,0,236,443,581,608,669,720,729
ej förvärvsarbetande,Norden exkl Sverige,65+ år,0,0,0,0,0,0,337,705,1043,1341,1634,1919,2149
ej förvärvsarbetande,Oceanien,16-19 år,32,31,37,38,45,63,53,41,41,50,60,60,57
ej förvärvsarbetande,Oceanien,20-24 år,110,100,113,115,94,131,87,71,51,39,32,33,28
ej förvärvsarbetande,Oceanien,25-34 år,470,519,488,484,553,627,503,403,315,255,181,113,93
ej förvärvsarbetande,Oceanien,35-44 år,148,179,176,192,225,282,259,235,202,184,168,145,126
ej förvärvsarbetande,Oceanien,45-54 år,31,41,41,55,66,73,76,67,56,57,61,60,57
ej förvärvsarbetande,Oceanien,55-59 år,5,6,10,9,10,9,9,6,6,10,12,11,9
ej förvärvsarbetande,Oceanien,60-64 år,1,2,4,5,8,11,9,10,7,3,4,2,1
ej förvärvsarbetande,Oceanien,65+ år,5,5,6,9,12,17,17,19,21,22,21,18,19
ej förvärvsarbetande,Oceanien,16-19 år,0,0,0,0,0,0,13,18,22,27,29,35,51
ej förvärvsarbetande,Oceanien,20-24 år,0,0,0,0,0,0,65,104,113,116,122,127,137
ej förvärvsarbetande,Oceanien,25-34 år,0,0,0,0,0,0,167,239,330,411,457,425,452
ej förvärvsarbetande,Oceanien,35-44 år,0,0,0,0,0,0,53,88,100,136,161,176,206
ej förvärvsarbetande,Oceanien,45-54 år,0,0,0,0,0,0,11,28,38,43,59,71,100
ej förvärvsarbetande,Oceanien,55-59 år,0,0,0,0,0,0,4,8,10,13,11,11,12
ej förvärvsarbetande,Oceanien,60-64 år,0,0,0,0,0,0,2,2,4,5,13,13,13
ej förvärvsarbetande,Oceanien,65+ år,0,0,0,0,0,0,0,2,3,5,7,8,10
ej förvärvsarbetande,Sydamerika,16-19 år,411,516,628,734,778,913,873,877,849,826,807,826,845
ej förvärvsarbetande,Sydamerika,20-24 år,601,678,731,782,907,1053,829,749,695,658,569,501,444
ej förvärvsarbetande,Sydamerika,25-34 år,1775,2094,2388,2485,2687,3177,2496,2081,1726,1494,1231,927,746
ej förvärvsarbetande,Sydamerika,35-44 år,912,1137,1338,1471,1613,1893,1716,1536,1455,1400,1299,1115,1017
ej förvärvsarbetande,Sydamerika,45-54 år,472,564,664,743,798,984,884,840,847,797,727,718,690
ej förvärvsarbetande,Sydamerika,55-59 år,142,167,213,219,280,343,317,281,299,266,282,296,288
ej förvärvsarbetande,Sydamerika,60-64 år,84,102,119,138,168,212,227,234,233,250,236,226,208
ej förvärvsarbetande,Sydamerika,65+ år,115,144,187,227,253,302,326,347,380,400,434,460,510
ej förvärvsarbetande,Sydamerika,16-19 år,0,0,0,0,0,0,134,232,345,415,475,559,589
ej förvärvsarbetande,Sydamerika,20-24 år,0,0,0,0,0,0,192,292,360,480,476,489,509
ej förvärvsarbetande,Sydamerika,25-34 år,0,0,0,0,0,0,678,1102,1407,1639,1819,1850,1823
ej förvärvsarbetande,Sydamerika,35-44 år,0,0,0,0,0,0,328,568,785,1079,1270,1337,1409
ej förvärvsarbetande,Sydamerika,45-54 år,0,0,0,0,0,0,138,262,388,501,570,624,659
ej förvärvsarbetande,Sydamerika,55-59 år,0,0,0,0,0,0,33,89,117,154,176,199,220
ej förvärvsarbetande,Sydamerika,60-64 år,0,0,0,0,0,0,27,56,92,122,141,170,185
ej förvärvsarbetande,Sydamerika,65+ år,0,0,0,0,0,0,26,62,89,129,175,245,304
ej förvärvsarbetande,Sverige,16-19 år,2162,2571,3134,3769,4375,5228,5030,4806,4340,4016,3895,3851,3825
ej förvärvsarbetande,Sverige,20-24 år,3300,3441,3404,3543,4355,5801,4698,4226,3929,3812,3670,3389,2933
ej förvärvsarbetande,Sverige,25-34 år,5664,6256,6343,6578,7011,8357,6569,5793,5307,4811,4341,3844,3389
ej förvärvsarbetande,Sverige,35-44 år,2968,3258,3545,3808,4115,4941,4057,3567,3251,3155,3097,2896,2733
ej förvärvsarbetande,Sverige,45-54 år,1602,1744,1956,2111,2396,3047,2757,2566,2530,2412,2327,2282,2323
ej förvärvsarbetande,Sverige,55-59 år,965,1070,1128,1130,1246,1419,1219,1122,1052,1021,1038,993,953
ej förvärvsarbetande,Sverige,60-64 år,1073,1375,1617,1773,2026,2201,1955,1715,1554,1444,1359,1244,1225
ej förvärvsarbetande,Sverige,65+ år,1951,2456,2991,3728,4580,5509,5973,6131,6479,6816,7210,7498,7786
ej förvärvsarbetande,Sverige,16-19 år,0,0,0,0,0,0,657,1192,1614,2034,2426,2735,3070
ej förvärvsarbetande,Sverige,20-24 år,0,0,0,0,0,0,1730,3258,4143,4771,5044,4828,4432
ej förvärvsarbetande,Sverige,25-34 år,0,0,0,0,0,0,1942,3191,4491,5532,6747,7520,8040
